"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"476",15,"Justice Hill",BAL,"RB132","10","4 out of 5 stars","-"
"477",15,"Travis Fulgham",GB,"WR163","14","3 out of 5 stars","-"
"478",15,"Kennedy Brooks",PHI,"RB133","7","3 out of 5 stars","-"
"479",15,"Ryan Griffin",CHI,"TE69","14","5 out of 5 stars","-"
"480",15,"Sam Howell",WAS,"QB45","14","4 out of 5 stars","-"
"481",15,"Durham Smythe",MIA,"TE70","11","3 out of 5 stars","-"
"482",15,"Trayveon Williams",CIN,"RB134","10","3 out of 5 stars","-"
"483",15,"Damiere Byrd",ATL,"WR164","14","4 out of 5 stars","-"
"484",15,"Chigoziem Okonkwo",TEN,"TE71","6","5 out of 5 stars","-"
"485",15,"Chris Moore",HOU,"WR165","6","3 out of 5 stars","-"
"486",15,"Andy Dalton",NO,"QB46","14","3 out of 5 stars","-110"
"487",15,"Nick Vannett",NO,"TE72","14","4 out of 5 stars","-"
"488",15,"Jermar Jefferson",DET,"RB135","6","4 out of 5 stars","-"
"489",15,"Jimmy Graham",FA,"TE73","-","-","-"
"490",15,"Ty Chandler",MIN,"RB136","7","4 out of 5 stars","-"
"491",16,"Jacob Harris",LAR,"TE74","7","3 out of 5 stars","-"
"492",16,"Kylin Hill",GB,"RB137","14","3 out of 5 stars","-"
"493",16,"Tre' McKitty",LAC,"TE75","8","4 out of 5 stars","-"
"494",16,"Mike Thomas",CIN,"WR166","10","3 out of 5 stars","-"
"495",16,"Nick Boyle",BAL,"TE76","10","2 out of 5 stars","-"
"496",16,"Royce Freeman",HOU,"RB138","6","3 out of 5 stars","-"
"497",16,"Charlie Kolar",BAL,"TE77","10","2 out of 5 stars","-"
"498",16,"J.J. Taylor",NE,"RB139","10","4 out of 5 stars","-"
