"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"1","Tyrone Swoopes","SEA","","","","","","","","","","","","0","0","0","0","","1",""
"59.6","Nick Boyle","BLT","4.1","1.9","7.8","1.4","0","2.8","2.5","","11.2","9.8","3","1.2","0.9","8","0","3.9","1.1",""
"5.5","Drew Sample","CIN","0","3.5","0","0","0","0.4","0.8","0","","0.8","","","","","","","",""
"3.1","Eric Saubert","CHI","","","","","","","","","","","","","","","","1.6","1.5",""
"71","Eric Ebron","IND","1.3","10","6.2","11.3","1.3","","15","4.1","2.6","8.1","4.7","6.4","","","","","",""
"81.7","Jimmy Graham","GB","10.5","0","0","15.1","5.6","2.7","14.5","3.5","3.7","6.9","","1.2","2.1","6.4","0.5","2.1","6.9",""
"178.1","Darren Waller","OAK","10.5","9.3","20.6","8.8","5.9","","28.1","8.1","6.2","5.5","10.1","5.6","13.5","10.3","16.2","5.7","13.7",""
"4.6","Johnny Mundt","LA","","","0","","0","","0","0","","1.4","0","","0","0","2.5","0","0.7",""
"1","Charles Jones II","JAX","","","","","","","","","","","","0","0","0","","","1",""
"12.6","J.P. Holtz","CHI","","","0","1.2","2.1","","0","0","0","0","0","0","0","7.1","0.4","1.8","0",""
"31.3","Logan Thomas","DET","0","1.2","2","4","","0","0","2.2","1.8","2.9","0","9.4","0","3.1","0","2.7","2",""
"0","Carson Meier","ATL","","","","","","","","","","","","","0","","","","",""
"3.5","Codey McElroy","TB","","","","","","","","","","","","","","","","3.5","",""
"25.6","Matt LaCosse","NE","","4.3","","0","2.7","0","","","","","1.3","1","2.9","2.4","3.7","7.3","0",""
"19.6","Jesper Horsted","CHI","","","","","","","","","","","","0.9","8.3","5.6","2.3","2.5","0",""
"70","Blake Jarwin","DAL","11.4","2.7","0.8","6.4","0","1.6","6.6","","10.7","5","4.8","3.2","1.9","8","5","1.9","0",""
